dist,value
2387,2743.64111328125
2388,2743.64111328125
2389,2744.4619140625
2390,2745.012939453125
2391,2745.2890625
2392,2745.373046875
2393,2745.64501953125
2394,2745.989990234375
2395,2746.39794921875
2396,2746.60791015625
2397,2746.716064453125
2398,2746.7509765625
2399,2746.75
2400,2746.69091796875
2401,2746.64306640625
2402,2746.718017578125
2403,2746.77294921875
2404,2746.73095703125
2405,2746.906005859375
2406,2746.85107421875
2407,2747.1220703125
2408,2747.31494140625
2409,2747.37890625
2410,2747.444091796875
2411,2747.458984375
2412,2747.556884765625
2413,2747.779052734375
2414,2747.988037109375
2415,2748.2900390625
2416,2748.2900390625
2417,2748.138916015625
2418,2748.256103515625
2419,2748.320068359375
2420,2748.468017578125
2421,2748.468017578125
2422,2748.614990234375
2423,2748.7919921875
2424,2748.675048828125
2425,2748.583984375
2426,2748.902099609375
2427,2749.032958984375
2428,2749.37890625
2429,2749.47607421875
2430,2749.779052734375
2431,2749.845947265625
2432,2750.008056640625
2433,2750.139892578125
2434,2750.2451171875
2435,2750.14404296875
2436,2750.14990234375
2437,2750.5009765625
2438,2750.69091796875
2439,2751.173095703125
2440,2751.291015625
2441,2751.344970703125
2442,2751.68310546875
2443,2752.173095703125
2444,2752.31103515625
2445,2752.4541015625
2446,2752.697998046875
2447,2752.884033203125
2448,2753.0419921875
2449,2752.843017578125
2450,2753.02099609375
2451,2753.555908203125
2452,2753.633056640625
2453,2753.7451171875
2454,2753.80908203125
2455,2753.946044921875
2456,2754.157958984375
2457,2754.18505859375
2458,2754.31201171875
2459,2754.3779296875
2460,2754.737060546875
2461,2755.177001953125
2462,2755.37109375
2463,2755.39892578125
2464,2755.49609375
2465,2755.489990234375
2466,2755.613037109375
2467,2755.8779296875
2468,2756.091064453125
2469,2756.0390625
2470,2756.25
2471,2756.739990234375
2472,2756.743896484375
2473,2756.824951171875
2474,2756.885009765625
2475,2756.89990234375
2476,2757.028076171875
2477,2757.10302734375
2478,2757.172119140625
2479,2757.362060546875
2480,2757.4970703125
2481,2757.7958984375
2482,2757.883056640625
2483,2758.0810546875
2484,2758.2451171875
2485,2758.580078125
2486,2758.64306640625
2487,2759.194091796875
2488,2759.194091796875
2489,2759.388916015625
2490,2759.4619140625
2491,2759.6220703125
2492,2759.89599609375
2493,2759.89599609375
2494,2760.3740234375
2495,2760.700927734375
2496,2761.0380859375
2497,2761.069091796875
2498,2761.22705078125
2499,2761.416015625
2500,2761.534912109375
2501,2761.341064453125
2502,2761.450927734375
2503,2761.60400390625
2504,2761.866943359375
2505,2762.05810546875
2506,2762.35009765625
2507,2762.416015625
2508,2762.528076171875
2509,2762.60400390625
2510,2762.833984375
2511,2763.073974609375
2512,2763.157958984375
2513,2763.072998046875
2514,2763.157958984375
2515,2763.43896484375
2516,2763.800048828125
2517,2763.862060546875
2518,2763.93603515625
2519,2764.4189453125
2520,2764.577880859375
2521,2764.577880859375
2522,2764.717041015625
2523,2764.822998046875
2524,2764.819091796875
2525,2764.989013671875
2526,2764.989013671875
2527,2765.1259765625
2528,2765.277099609375
2529,2765.55810546875
2530,2765.452880859375
2531,2765.452880859375
2532,2765.635986328125
2533,2765.73095703125
2534,2765.693115234375
2535,2765.9189453125
2536,2765.9189453125
2537,2766.212890625
2538,2766.133056640625
2539,2766.48193359375
2540,2766.41796875
2541,2766.56298828125
2542,2766.60693359375
2543,2766.81005859375
2544,2766.87890625
2545,2766.887939453125
